Currency;CurrencyCd;ReportDate;Valuation
Norwegian Kroner;nok;09MAY2006;1.19419
Norwegian Kroner;nok;10APR2020;1.07457
Euro;eur;02FEB2011;8.87846
US Dollar;usd;05AUG2011;6.47685
United Kingdom Pound;gbp;10JUL2015;13.03437
United Kingdom Pound;gbp;04AUG2020;12.03519
US Dollar;usd;08JUL2018;8.74760
US Dollar;usd;09MAR2008;6.12020
US Dollar;usd;08NOV2006;7.16290
United Kingdom Pound;gbp;07JAN2018;11.05308
Euro;eur;01MAR2013;8.37934
US Dollar;usd;04MAY2019;9.57170
Danish Krone;dkk;09MAR2013;1.11554
United Kingdom Pound;gbp;08SEP2011;10.24040
Australian Dollar;aud;09AUG2007;5.78180
Euro;eur;05MAR2007;9.31385
Euro;eur;08APR2013;8.37337
Danish Krone;dkk;01OCT2010;1.23766
United Kingdom Pound;gbp;06NOV2011;10.54570
United Kingdom Pound;gbp;02APR2015;12.75965
Australian Dollar;aud;01FEB2018;6.29719
Danish Krone;dkk;02SEP2014;1.23395
US Dollar;usd;05APR2019;9.28920
US Dollar;usd;07AUG2018;8.90980
Norwegian Kroner;nok;01JUL2019;1.09044
United Kingdom Pound;gbp;03JAN2008;12.59570
Australian Dollar;aud;09JUL2010;6.56882
US Dollar;usd;01JUN2010;7.82410
US Dollar;usd;01FEB2018;7.87395
Danish Krone;dkk;06MAY2020;1.42985
Euro;eur;06APR2016;9.29694
Norwegian Kroner;nok;02JUL2012;1.16049
Euro;eur;07JUN2006;9.21026
United Kingdom Pound;gbp;04FEB2011;10.45290
Australian Dollar;aud;07OCT2013;6.07097
Australian Dollar;aud;02FEB2018;6.26367
Euro;eur;05JUN2014;9.04220
Danish Krone;dkk;07FEB2008;1.26399
Euro;eur;07DEC2020;10.67285
Norwegian Kroner;nok;08MAY2011;1.13737
United Kingdom Pound;gbp;02AUG2013;10.07860
Danish Krone;dkk;01JAN2008;1.26819
Euro;eur;05JUN2009;10.86910
US Dollar;usd;08FEB2007;6.97900
Danish Krone;dkk;01JUL2014;1.22900
US Dollar;usd;02DEC2020;9.73445
US Dollar;usd;10FEB2012;6.68130
Euro;eur;09MAY2017;9.68242
Norwegian Kroner;nok;01APR2017;1.03938
US Dollar;usd;03JUN2011;6.17045
Australian Dollar;aud;08DEC2015;6.13802
Danish Krone;dkk;04AUG2018;1.38413
United Kingdom Pound;gbp;03MAR2015;12.72140
Euro;eur;06JAN2019;10.22929
Danish Krone;dkk;01MAR2010;1.31106
US Dollar;usd;04MAY2017;8.82810
United Kingdom Pound;gbp;03MAR2007;13.73050
Australian Dollar;aud;04FEB2018;6.26367
Danish Krone;dkk;01MAY2012;1.19906
Euro;eur;10APR2010;9.70112
Euro;eur;05JUN2019;10.62264
Australian Dollar;aud;02APR2020;6.59509
US Dollar;usd;01JUN2008;6.01390
Australian Dollar;aud;10AUG2007;5.72730
Euro;eur;02FEB2006;9.29187
Danish Krone;dkk;04DEC2008;1.41872
US Dollar;usd;05APR2017;8.98090
Danish Krone;dkk;10NOV2020;1.42985
United Kingdom Pound;gbp;01JUL2014;11.48220
United Kingdom Pound;gbp;09AUG2015;13.61680
Australian Dollar;aud;08OCT2009;6.31662
United Kingdom Pound;gbp;03NOV2019;12.03519
Danish Krone;dkk;04SEP2012;1.12947
